Kabupaten/Kota Se Jawa Timur,Produksi Padi Menurut Kabupaten/Kota (Ton),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2018,,,,,,,,,,,,,2019,,,,,,,,,,,,,2020,,,,,,,,,,,,,2021,,,,,,,,,,,,,2022,,,,,,,,,,,,,2023,,,,,,,,,,,,,2024,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
Kabupaten Magetan,2772.92,37447.38,64277.42,12022.49,16196.5,60003.61,39175.87,4642.18,5288.16,14452.18,28624.57,4555.09,289458.37,1764.91,12328,73480.11,15846.76,3883.66,37512.02,40005.35,7737.99,4002.38,13369.8,44835.16,5905.21,260671.35,1286.08,9739.49,81796.4,32967.06,6049.4,19701.65,57586.8,12990.54,2500.14,32381.79,45301.6,6752.12,309053.07,1155.68,14598.06,83757.28,19574.87,7084.68,40466.31,60346.04,6912.65,6087.08,20166.78,35362.71,11767.54,307279.68,954.88,14151.19,71997.66,24588.75,4480.96,36569.8,46137.03,8386.29,4144.08,13897.89,31205.99,10185.37,266699.89,2028.9,10593.63,77194.13,21362.07,4364.56,40705.82,42330,15720.62,8137.28,6433.18,32905.05,18816.85,280592.09,796.67,7155.53,66837.97,33130.68,5830.76,36656.94,41017.12,22281.28,706.15,12222.39,26434.54,19176.02,272246.05
Kabupaten Ngawi,6802.98,109542.01,119519.34,22503.72,26324,125826.01,97148.61,23686.31,23755.02,94152.88,79261.68,18240.04,746762.6,10484.94,53932.03,186344.19,33460.56,17346.31,115147.64,117077.85,21583.92,17756.72,74541.46,101192.5,28322.24,777190.36,7564.73,27350.93,216342.48,46406.85,8079.76,53091.68,185518.77,34749.66,4286.08,54349.92,164079.43,35952.86,837773.15,4448.31,36572.31,182606.32,48776.05,9294.24,60280.26,167253.37,32254.39,3880.68,67235.52,132677.47,41196.73,786475.65,5184.08,37705.42,161888.54,72821.87,6447.01,52579.48,148533.65,42046.51,5947.46,36289.56,133000.33,53495.04,755938.95,9238.74,12573.66,168875.14,76167.68,13985.88,33955.28,142225.58,74862.19,9963.7,19450.39,121420.55,88532.58,771251.37,12826.55,10676.27,117677.47,129355.53,15742.03,25367.63,125246.82,103869.41,26537.08,28967.56,101852.09,67585.09,765703.53
Kabupaten Bojonegoro,26071.89,98763.59,212131.78,58608.84,47394.12,81366.73,71031.95,17230.94,67496.56,22365.97,30882.32,19168.71,752513.4,25497.92,42334.99,151447.33,173832.85,18255.29,83824.42,71629.02,23908.81,23869.96,28109.01,26672.43,22691.13,692073.16,16455.01,34413.21,101065.38,201732.58,62503.05,60580.6,81926.37,66467.02,31384.47,30442.06,26418.17,15527.2,728915.12,18919.35,56637.29,221428.29,75747.33,24344.39,100863.21,71378.09,7327.66,20833.28,35055.5,20144.64,21322.97,674002,9362.65,74278.61,283043.45,42332.37,10979.17,105282.46,72573.51,11806.49,18334.94,25397.75,30820.68,20076.86,704288.94,12065.62,166942.05,179152.2,33277.34,42244.38,137735.75,26462.7,15718.57,22897.35,31371.81,24506.87,13587.99,705962.63,15837.66,41517.71,122138.33,179810.36,51399.61,82737.06,72779.58,34705.98,29925.35,30994.66,31305.84,17375.04,710527.18
Kabupaten Tuban,15526.73,30721.53,153481.84,92904.5,10381.99,39285.52,45418.71,23119.31,53262.28,67645.69,18628.19,13864.83,564241.12,20176.71,31711.65,71450.23,148962.42,33837.62,18807.73,37182.33,26291.91,23968.36,76271.47,22577.47,8696.46,519934.36,17397.72,34158.25,57925.04,116423.68,74831.23,22086.2,27552.03,34942.52,36898.93,62061.8,19282.1,3494.38,507053.88,26280.91,29371.56,117522.51,102133.26,18699.85,17777.26,40517.56,18113.74,39225.7,63817.05,12523.29,3435.93,489418.62,31883.19,37297.72,152502.65,69187.04,14111.89,13615.72,43070.89,17992.41,47241.93,46944.86,19675.98,5414.31,498938.59,32714.42,60401.05,164251.75,25735.29,19460.59,41717,33755.08,15026.36,49276.16,47312.45,9675.63,2415.34,501741.12,45786.79,48067.7,53556.32,106059.88,57927.6,26444.97,34307.09,19551.51,58462.63,54889.52,13042.83,4970.65,523067.49
Kabupaten Lamongan,9068.71,151407.53,201693.85,53572.68,75277.47,106307.88,49252.29,92273.37,133463.79,14511.79,4441.35,5382.2,896652.91,18379.62,54279.39,177487.12,129375.8,30154.6,121092.47,72815.97,93795.49,101043.67,29095.4,9353.87,2851.03,839724.43,2079.32,16730.65,167716.11,180318.87,44788.12,65078.01,86458.58,155030.4,99009.44,58638.27,8964.89,1248.33,886060.99,2132.47,38919.57,241442.22,86994.09,18362.12,111250.47,96313.56,87711.58,83737.99,13852.22,8874.96,3070.84,792662.09,5039.56,117228.39,252152.07,29708.78,34231.15,136533.66,90623.69,75716.25,62340.06,58046.74,36736.27,5525.67,903882.29,15162.11,168447.67,162628.39,23649.89,60610.06,119010.87,57823.47,71339.66,98069.64,13885.52,3877.64,4199.93,798704.85,3983.57,7386.26,178246.94,172955.82,32427.6,69402.94,83230.6,90118.22,111204.45,21822.91,1497.6,4013.75,776290.66
Kabupaten Gresik,2781.16,102755.27,57899.01,15551.44,57103.19,44377.02,20766.06,10361.25,18230.62,11663.03,6336.64,3877.7,351702.39,6321.88,25468.78,125024.39,13865.17,16753.4,80513.07,40806.57,14270.22,14105.22,12496.56,14245.9,3846.5,367717.66,6451.09,33654.14,110293.75,63451.68,6057.83,30704.71,90408.2,21227.7,18754.71,13395.53,13048.93,268.36,407716.63,2514.4,38615.05,128026.32,23672.07,5377.67,95596.82,37155.99,12286.86,3529.16,20564.27,10208.79,2118.79,379666.19,618.63,102194.51,90703.72,13965.33,14177.11,107551.27,27669.02,14655.14,6836.77,22863.35,8304.24,1703.11,411242.2,6821.87,128984.62,55184.81,8036.69,46894.66,88060.65,17662.96,16872.25,21069.51,20042.18,7555.77,242.61,417428.58,744.29,7935.33,83438.12,84003.77,17876.62,30981.83,38057.42,11509.83,16839,23370.4,13436.79,766.13,328959.53
Kabupaten Bangkalan,4739.48,46564.49,68927.85,27021.81,12847.5,27605.63,37426.82,10502.98,7624.38,450.79,0,0,243711.73,746.65,7657.79,63895.8,49343.02,5353.23,13094.25,39003.24,15146.86,175.53,1202.03,4281.5,1720.1,201620,450.34,2437.42,22119.61,79013.4,14266.47,12519.43,23824.46,28797.02,11475.66,7309.78,4642.08,439.22,207294.89,3544.14,19609.59,84099.46,16866.14,4767.71,22824.7,24811.71,4226.72,4650.43,7429.14,2493.55,-,195323.29,1539.38,25496.13,85040,12486.32,4600.06,26236.55,23280.48,9726.37,3727.23,5158.06,832.13,0,198122.71,2459.47,49493.78,65721.06,7946.81,5804.55,30161.47,16252.19,6864.08,1554.55,0,0,0,186257.96,0,1830.8,55150.77,52497.07,9712.89,4959.96,31986.05,20606.3,4886.42,3473.43,793.82,3264.39,189161.9
Kabupaten Sampang,1677.43,47869.41,69272.52,9095.91,15709.58,29482.47,6267.93,4965.09,2795.9,490.6,1413.24,0,189040.08,0,3387.44,88112.71,25704,2101.73,24087.15,11641.73,0,1184.76,0,0,0,156219.52,-,2596.82,64948.52,50066.99,15892.86,12672.04,24700.4,14064.04,2292.72,3768.22,732.86,-,191735.47,160.7,29316.86,111563.89,8312.15,4476.69,31491.53,7764.89,1174.38,780.73,336.47,222.4,-,195600.69,0,26771.2,97788.76,1875.45,802.32,40656.71,3921.12,0,0,678.82,0,0,172494.38,200.75,73829.95,45340.64,724.64,4718.94,41181.52,935.79,0,207.31,51.81,0,0,167191.35,0,0,49859.56,57195.21,6095.92,7759.73,21405.52,3294.27,0,0,318.16,3.38,145931.75
Kabupaten Pamekasan,0,15625.1,68750.07,17610.25,630.98,4152.94,1018.21,1484.05,2685.06,1316.64,906.16,0,114179.46,0,5035.1,49671.49,29404.68,1045.14,1906.63,2623.05,329.41,159.3,188.13,559.01,391.38,91313.32,142.22,578.69,6307.08,73429.06,16509.59,1152.46,1187.77,382.65,1031.49,153.33,451.66,501.44,101827.44,420.72,4697.02,76685.19,11065.64,1180.66,376.97,1721.34,257.73,152.08,166.62,-,-,96723.97,0,5354.67,90218.87,5128.61,75.75,1405.45,1116.24,433.44,3915.68,0,0,0,107648.71,167.04,17887.31,84336.61,2207.94,321.31,2137.7,0,1278.11,0,147.12,0,0,108483.14,0,0,17754.96,73742.2,9261.51,309.58,419.71,0,5.92,0,6.26,1.28,101501.42
Kabupaten Sumenep,476.54,18144.72,99200.2,36945.12,4841.49,14564.64,36151.64,6002.02,8009.59,19707.66,13490.26,751.11,258284.99,0,3182.61,63644.67,67858.48,6754.76,7675.17,16604.53,13652.08,2901.38,1377.38,985.61,1454.17,186090.84,448.07,1618.97,14486.38,112783.2,32976.53,3565.87,18292.94,25742.69,14946.62,1537.47,1984.7,596.77,228980.21,290.4,11135.41,99717.89,45945.07,3305.74,10242.33,18650.55,22013.61,6489.11,3735.92,453.38,-,221979.41,3403.12,20342.32,110793.77,32538.2,2510.96,16358.36,17739.55,11320.84,4999.11,6529.64,3554.41,491.03,230581.31,4778.43,26514.33,103505.61,22667,2068.83,19355.23,15545.68,15385.25,3307.89,2286.65,1631.2,764.38,217810.48,128.11,1365.71,40912.66,95452.82,16924.19,3054.61,11409.19,14578.58,5308.96,0.02,340.36,24.48,189499.69
Kota Kediri,351.89,163.01,2171.06,2320.06,171.72,0,2009.92,2487.17,210.68,0,0,320.05,10205.56,643.85,206.69,604.37,2520.17,517.73,283.79,108.36,755.94,1279.94,112.15,0,0,7032.99,-,197.58,1025.89,2744.26,1338.16,196.83,0,1318.6,2052.2,460.09,950.2,-,10283.81,302.85,100.95,1478.5,2319.69,1017.84,142.95,363.73,1803.01,1445.47,325.59,-,234.28,9534.86,622.98,891.6,1021.33,2394,618.85,83.74,623.67,1823.91,446.33,155.05,492.93,1023.11,10197.5,200.36,328.4,492.58,1141.16,2236.15,0,97.79,2328.37,572.61,257.96,0,616.19,8271.57,231.69,0,305.68,1409.86,2667.76,182.32,0,1644.41,1445.86,159.98,0,345.35,8392.91
Kota Blitar,0,0,1390.46,2737.39,419.05,0,0,324.39,0,0,0,0,4871.29,0,70.63,693.65,1863.42,1181.48,1130.77,479.96,406.2,258.47,0,0,0,6084.58,-,-,-,669.7,2128.82,1457.12,74.01,424.98,519.61,-,-,-,5274.24,41.29,41.29,264.26,2833.08,1653.82,83.35,123.19,448.93,304.09,-,-,-,5793.3,47.24,0,229.91,3314.9,1316.2,0,38.96,155.98,108.94,0,0,0,5212.13,45.73,47.8,911.54,3096.49,738.4,42.85,42.85,502.97,208.05,0,0,0,5636.68,0,0,0,382.99,1500.12,542.92,135.27,366.85,712.14,81.88,0,0,3722.17
Kota Malang,1204.74,501.48,886.57,537.02,887.44,828.45,1307.27,889.85,1459.18,647.83,1447.96,1252.3,11850.09,396.44,1905.94,1595.45,500.25,742.87,867.67,388.52,1891.72,2365.49,422.11,1269.94,1563.3,13909.7,199.52,1580.81,2275.13,334.18,1645.29,124.06,346,2057.63,1430.59,543.04,690.22,497.28,11723.75,870.43,1801.68,1209.87,542.85,680.58,762.58,572.63,1990.77,1073.28,183.36,704.76,918.61,11311.4,453.91,1364.21,1475.71,196.47,781.06,893.36,828.37,950.2,1002.1,358.02,1110.06,1357.68,10771.15,782.25,750.81,374.34,488.53,2132.37,904.07,1039.14,90.62,425.37,988.21,776.36,1566.5,10318.57,916.58,70.81,901.34,834.08,933.86,1517.29,876.89,348.68,405.71,857.81,1293.86,1539.74,10496.65
Kota Probolinggo,0,0,1453.16,2570.89,950.48,52.63,0,0,155.37,189.77,188.03,186.68,5747.01,427,45.48,692.89,2698.47,2455.93,160.73,0,0,395.98,288.72,0,0,7165.2,-,237.81,455.94,2453.72,2492.03,1005.67,56.88,-,-,465.8,375.34,-,7543.19,-,83.33,1156.3,3546.65,2626.77,319.47,171.29,513.88,248.86,-,187.64,69.89,8924.08,118.83,0,977.15,3586.28,2831.75,297.33,0,0,71.25,221.33,0,0,8103.92,86.88,0,1691.82,3403.03,959.13,452.62,355.99,153.82,0,78.09,98.71,221.97,7502.06,131.07,0,514.4,4511.7,2329.03,362.55,0,114.57,440.64,85.65,3.63,0.9,8494.14
Kota Pasuruan,1168.79,569.72,1504.47,941.42,1244.64,853.8,496.93,1020.64,1474.7,745.13,1239.46,586.87,11846.57,1200.42,677.14,602.18,588.95,750.16,1170.19,979.44,654.12,774.05,636.89,906.03,1865.14,10804.71,171.84,653.58,1002.02,1819.75,993.18,849.5,335.11,345.22,1175.7,1749.53,645.78,374,10115.21,584.96,700.73,290.75,1177.99,314.21,606.25,400.17,635.73,769.78,913,891.34,1019.68,8304.59,204.67,520.91,576.99,504.85,691.41,1133.05,490.68,461.3,571.15,857.32,1010.78,270.58,7293.69,291.79,100.74,973.29,1239.35,602.09,612.92,534.09,326.12,954.38,1246.56,1042.65,96.05,8020.03,507,1209.01,698.42,638.13,235.27,933.75,676.19,882.27,763.34,207.96,1690.18,223.77,8665.29
Kota Mojokerto,254.88,48.53,0,489.29,664.26,398.54,0,622.89,707.55,52.88,223.68,719.65,4182.15,487.53,0,45.29,73.14,439.42,618.91,292,0,268.45,562.21,453.86,325.07,3565.88,231.15,308.07,-,173.32,731.1,692.43,188.95,377.96,766.71,768.52,223.57,-,4461.78,-,-,475.49,397.77,1176.57,32.08,-,-,1073.51,1185.99,73.52,-,4414.93,0,180.6,0,664.85,889.89,56.5,321.07,578.05,848.77,716.41,194.19,582.63,5032.96,0,226.03,64.58,811.47,395.76,151.4,90.84,121.12,995.67,227.43,208.48,0,3292.78,79.46,181.53,90.77,121.02,1170.32,0,0,0,1132.53,549.3,124.4,0.3,3449.63
Kota Madiun,0,116.48,3492.35,58.24,0,237.74,3004.76,108.11,77.65,0,1234.8,155.24,8485.37,0,0,2387.23,947.25,0,0,3083.48,568.91,0,0,829.95,442.57,8259.39,6.05,-,464.77,2709.01,-,-,3772.64,1179.45,-,92.23,3080.78,1007.8,15166.53,35.68,-,2982.28,1661.74,0,36.13,4232.01,434.75,92.17,92.17,3384,554.88,13505.81,0,0,2932.19,1633.82,0,0,3051.13,321.64,0,82.24,2828.82,604.08,11453.92,63.51,0,2828.31,1097.14,33.7,0,2153.67,2232.66,35.32,0,1308.75,2416.56,12169.62,68.74,0,866.48,3366.29,246.01,0,828.81,3606.77,104.88,0,1459.65,2062.79,12610.42
Kota Surabaya,675.05,1033.43,4845.46,1148.63,494.6,409.49,1581.61,2071.29,1312.53,325.83,174.16,402.45,14474.53,451.66,184.35,4277.15,482.65,732.1,458,763.87,405.77,375.06,785.04,355.18,325.95,9596.78,12.23,126.06,88.56,4568.32,1265.9,445.17,533.79,1136.45,735.18,474.2,631.21,58.13,11138.05,450.93,162.11,3805.02,1136.33,412.04,703.65,1149.5,550.23,216.68,616.55,343.55,286.08,9832.67,98.34,982.24,3416.56,866.09,208.34,147.72,576.62,741.73,520.13,101.35,203.33,254.86,8117.31,478.5,1532.01,1602.51,518.63,731.76,1224.41,344.39,897.82,246.28,186.16,261.22,45.19,8068.88,283.57,50.29,558,3667.83,609.06,195.15,213.02,395.54,760.32,244.27,329.6,33.77,7340.42
Kota Batu,1021.5,0,856.09,1006.31,887.94,260.31,0,516.84,87.13,196.02,457.32,580.07,5869.53,650.58,171.09,0,456.21,1110.45,1553.37,324.55,499.82,106,53.03,0,106,5031.1,52.06,61.01,39.66,166.46,720.03,1368.82,561.58,341.73,325,0,243.71,284.38,4988.4,277.66,324.01,324.01,157.3,962.73,811.33,476.22,761.86,368.71,60,308.71,917.65,5750.19,686.14,727.91,309.61,359.71,551.46,884.77,627.93,695.72,355.33,436.62,192.96,934.41,6762.57,629.29,460.36,497.79,178.47,1009.37,654.83,563.89,509.3,0,0,51.35,308.16,4862.81,668.6,308.63,51.43,102.85,523.72,464.55,741.33,98.83,103.54,51.77,51.77,492.39,3659.41
Jawa Timur,211336.91,960555.39,2293296.4,1345462.55,635297.04,923599.84,1190086.94,716395.27,624663.23,489721.49,470151.11,342647,10203213.17,314228.76,442558.79,1933799.6,1857128.26,616134.88,806305.87,1071320.17,750277.4,516564.94,501296,499059.44,272259.77,9580933.88,288721.13,345241.4,1324020.59,2243967.32,992091.94,603419.93,1135872.36,924107.6,599080.95,618298.54,603416.14,266300.36,9944538.26,300797.15,507757.43,2192542.16,1659178.45,532441.85,811440.39,1200996.28,715158.77,484774.35,493039.28,520043.05,371418.51,9789587.67,280648.72,649333.11,2287460.65,1419038.92,532767.5,823022.04,1057836.95,641197.02,460667.77,485091.07,547787.36,341664.56,9526515.67,319104.79,978255.37,2109963.82,1187207.4,626767.96,940075.2,924228.51,743342.68,528980.73,428914,485115.13,438705.74,9710661.33,277035.02,310234.48,1321465.79,2135744.25,865264.09,649671.78,889962.44,866020.53,652260.74,471937.28,462469.22,368369.67,9270435.29
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catatan,Dihasilkan dari Pendataan Statistik Pertanian Tanaman Pangan Terintegrasi dengan Metode Kerangka Sampel Area (KSA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
