Kabupaten/Kota Se Jawa Timur,Produksi Padi Menurut Kabupaten/Kota (Ton),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2018,,,,,,,,,,,,,2019,,,,,,,,,,,,,2020,,,,,,,,,,,,,2021,,,,,,,,,,,,,2022,,,,,,,,,,,,,2023,,,,,,,,,,,,,2024,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
Kabupaten Banyuwangi,27729.16,16986.49,78457.91,79122.96,46085.58,19269.02,38857.35,55969.32,48805.21,37380.94,29969.24,35895.6,514528.78,42968.7,17787.12,43133.11,89701.12,50908.06,17665.52,16608.71,35445.64,47464.33,47640.36,21780.55,14150.64,445253.86,28464.04,12444.66,11500.74,64315.19,90760.31,40597.42,15234.87,24406.35,55818.6,70908.93,40522.49,15859.03,470832.63,33016.86,30863.99,65597.35,87637.38,31410.39,26618.5,38005.03,44205.66,35292.57,49365.41,31435.71,40041.22,513490.07,32500.03,14607.79,59482.3,84143.21,40645.75,25340.22,26836.06,25156.4,37248.67,62829.99,29402.33,24013.23,462205.98,24888.43,22243.99,55417.45,76667.52,39582.87,22461.86,27227.33,27422.7,39845.29,59752.95,30215.09,29042.98,454768.46,19910.58,12887.81,22480.59,74152.75,57253.35,22222.12,9386.91,23550.58,61509.14,53309.41,25169.54,13798.6,395631.38
Kabupaten Bondowoso,8154.93,15008.83,40514.92,39903.57,29549.95,19214.13,27867.64,19266.87,11080.07,10170.13,17985.68,15118.56,253835.28,19154.67,16305.45,30329.06,38176.7,24377.45,27795.15,23535.66,16481.16,14389.28,10430.65,18853.52,11543.19,251371.94,18181.82,23444.7,10395.02,59121.56,27602.76,26303.89,27318.26,15490.44,10428.88,13787.52,16091.82,12851.81,261018.48,14739.3,14274.66,37559.38,43022.78,28852.4,23350.76,31927.95,15306.49,10285.11,13332.86,12687.96,13611.81,258951.46,14393.68,13967.88,37513.22,36719.36,31670.35,21768.59,23118.32,13506.58,10697.93,13976.62,9697.87,11647.25,238677.65,12534.31,18119.04,34054.33,36892.04,28360.25,25845.35,23189.07,14249.23,11439.47,15427.25,15970.39,11698.01,247778.74,13288.81,21356.98,35639.77,37076.51,32077.29,32642.94,23243.59,16754.43,10761.27,13128.05,12246.11,11261.93,259477.68
Kabupaten Situbondo,4550.95,14030.42,42350.73,27406.32,10061.44,11726.58,29274.44,8031.97,6401.55,5149.73,9018.15,7552.89,175555.17,6477.13,17990.17,33206.15,35507.12,10234.93,11117.08,18589.22,10336.66,5755.65,6187.31,6300.91,5963.21,167665.54,6544.22,13569.28,25051.37,36436.02,14641.32,9516.72,13523.17,12772.49,8920.61,5872.93,8492.46,4587.6,159928.19,8907.76,12337.07,30484.29,30377.93,10057.92,9750.98,13889.32,15273.82,5089.28,3829.92,3246.47,7912.36,151157.12,6141.38,11665.28,35238.65,26438.18,7540.35,6956.29,15569.44,10642.09,3519.25,6597.2,6058.98,5260.91,141628,5865.85,18113.03,37524.24,18807.88,8077.69,14309.73,16914.05,11002.62,6449.08,6479.55,5744.88,7984.65,157273.25,8081.76,16968.77,29671.88,29128.21,14342.59,8999.3,16454.39,12568.31,7389.73,5877.32,7673.07,5081.49,162236.82
Kabupaten Probolinggo,5840.67,6214.52,37846.22,43059.06,17060.06,17050.02,15158.6,11666.79,5562.79,4070.21,6717.08,6329.6,176575.62,5766.51,13003.79,27662.79,53481.5,25464.75,15048.7,15738.2,10678.17,7648.69,6361.25,6032.75,6887.4,193774.5,5347.87,6829.49,14058.96,62418.31,40301.9,14433.52,10376.46,13267.73,10576.46,5183.04,6895.68,2910.64,192600.06,8283.92,6768.22,35428.08,58849.01,21612.15,13397.62,9235.7,12791.82,7362.64,3487.65,5926.23,7037.1,190180.14,7271.86,6921.8,35499.13,50329,25241.97,13152.43,9369.18,11313.32,10317.5,6778.35,5087.18,4130.79,185412.51,10721.82,11197.94,42000.38,47434.28,23831.89,18712.02,10262.45,12228.27,7278.12,5807.39,5321.6,6248.18,201044.34,5948.66,7107.95,14055.13,52923.64,39245.75,13258.57,8761.23,8434.19,14882.92,3858.76,4351.81,4778.77,177607.38
Kabupaten Pasuruan,14519.62,13649.11,27413.51,59298.9,33119.09,14856.06,27140.07,38676.31,20404.6,19241.56,17319.64,16828.02,302466.49,17441.8,11672.32,22051.7,55680.27,31136.33,14802.12,18759.13,29401.37,21661.59,15323.09,18972.72,12560.61,269463.05,19547.03,12181.82,10090.33,55022.37,46289.91,20593.72,10166.84,31918,25044.36,21529.78,13386.56,7165.55,272936.27,18989.39,15400.81,18352.75,44447.7,32103.41,23007.03,17807.84,20729.53,19917.06,22905.38,18128.38,13161.5,264950.78,10203.18,9892.04,37988.5,37700.84,29040.49,11449.71,31284.68,15668.85,18445.11,14909.38,16997.61,13675.33,247255.72,12957.94,10077.1,38941.4,29402.12,33248.85,15669.81,28540.62,18621.32,24326.81,20010.42,16280.27,11985.28,260061.94,15120.54,15783.65,24699.04,51311.51,32116.28,19310,19823.33,24818.76,19596.96,21933.49,22712.57,10128.38,277354.51
Kabupaten Sidoarjo,18447.54,11123.43,27302.82,40938.1,26893.71,11922.08,14200.55,28265.53,28298.69,20272.09,10366.97,10169.41,248200.92,2360.79,4773.75,12348.41,41430.97,46172.04,12584.79,3115.57,13666.72,27603.99,44683.23,16875.16,9172.69,234788.11,4191.42,2576.33,2428.03,21623.67,50002.15,23811.01,8512.14,6334.62,20612.36,50762.57,14343.72,3911.91,209109.93,894.24,978.92,15692.57,45053.34,31336.57,9970.46,3700.73,10276.08,31123.68,28060.29,21711.73,3702.79,202501.4,1716.71,868.93,7817.9,37043.93,38152.05,8555.42,994.9,7668.76,31682.19,31496.28,26803.39,1739.99,194540.45,1355.3,1057.82,22309.86,29880.69,33654.11,6455.64,4049.17,9932.48,32711.26,29430.45,22500.89,2517.68,195855.35,4826.56,3422.26,6051.81,29945.5,32691.01,19874.58,9907.52,7024.98,31741.95,33302.99,24940.6,5256.94,208986.7
Kabupaten Mojokerto,4221.65,25536.87,58304.2,57650.16,26008.64,18900.83,41032.67,36382.95,22751.11,6613.62,8915.76,11555.39,317873.85,11537.67,10392.84,73124.7,74136.67,27264.05,20851.79,35020.89,37609.36,25099.58,10347.94,7828.24,6542.15,339755.88,11972.37,12549.56,12974.64,103992.37,28635.43,16267.08,36969.37,37782.7,23247.1,13382.65,10693.19,4219.91,312686.37,9386.61,1609.37,46376.26,76140.2,32724.87,16083.69,37453.05,27927.45,15313.33,17876.76,10129.97,6020.76,297042.32,5459.45,17142.15,45864.99,69622.59,26522.39,22588.47,24030.68,27236.44,15397.86,13415.13,5033.78,9515.48,281829.41,8158.9,28759.8,47996.69,48971.98,36818.84,26716.53,26367.89,29606.56,18056.27,14145.09,8887.86,8404.34,302890.75,5887.05,4550,30494.51,84210.96,37615.43,13562.47,20940.04,26126.3,29874.27,17472.17,10453.47,4527.77,285714.44
Kabupaten Jombang,1456.1,24501.94,112790.38,76791.59,2429.36,12685,72077.35,47171.51,22980.74,1716.1,9195.01,9978.21,393773.29,3187.49,8133.39,55485.17,115053.7,15164.15,6224.26,39615.87,46535.07,26115.76,14597.8,5247.24,8876.44,344236.34,5353.16,10135.68,25075.67,100096.01,58590.26,2468.91,29143.12,34156.33,34813.05,24130.68,9867.06,9333.97,343163.9,2955.68,2059.76,52751.82,116041.31,15390.79,2263.33,32015.3,45696.96,41002.98,591.25,5498.04,10559.42,326826.64,6587.3,1270.56,52063.26,107143.18,30334.59,2984.22,30468.69,49348.01,36268.25,4288.48,6489.33,9926.27,337172.14,7806.56,2518.14,64491.48,106452.48,18359.34,3937.72,34672.39,53117.41,29743.89,8359.88,5740.72,11673.44,346873.45,5836.85,1492.25,35665.07,114893.04,35472.13,3013.39,26482.26,46113.19,40585.14,13558.1,4065.05,15114.85,342291.32
Kabupaten Nganjuk,1747.06,32371.45,127141.72,41488.96,7848.62,55957.96,73602.51,9438.41,13907.9,10970.72,16130.39,4779.42,395385.12,10599.54,14562.77,111775,63369.96,24190.39,41513.81,75452.17,14967.47,13078.26,9841.12,16005.27,4489.92,399845.68,8134.94,15133.16,108599.02,81998.34,26727.57,30001.39,87799.78,24722.41,11599.68,13896.29,19477.53,8793.94,436884.05,8321.07,19717.34,119196.59,74521.84,11534.71,43806.17,83622.96,15258.85,13048.98,14417.27,18373.44,7491.79,429311.01,6549.39,18028.09,109981.07,64400.31,8352.44,38569.55,65424.17,15950.43,11018.52,10678.05,15635.65,11888.76,376476.43,11374.57,17146.35,124582.85,59784.14,14696.76,56735.11,68561.17,14445.31,13345.63,12559.14,15745.67,9119.41,418096.11,4618.13,10439.49,94036.73,81859.09,26437,33226.75,70442.03,24121.45,13089.81,15992.92,17652.48,13059.21,404975.09
Kabupaten Madiun,812.18,29563.39,94455.58,22373.18,2076.72,60801.53,70771.25,15288.49,2288.4,37182.1,51983.96,17356.32,404953.1,1459.34,6057.87,97968.41,48841.73,514.16,15722.39,108813.79,31623.79,3788.9,14438.33,70653.76,19409.97,419292.44,8625.44,3599.98,75688.09,75453.66,5914.65,3685.5,101986.07,46552.5,2497.94,6569.86,81988.01,33490.68,446052.38,8073.36,1449.23,95998.01,64029.3,5624.59,7925.8,114348.36,40605.62,4684.54,7270.5,76464.9,35323.91,461798.12,9822.23,882.64,79297.09,62283.63,15005.43,5393.52,85856.55,35339.54,11383.71,4835.91,59472.63,32000.81,401573.69,15149.5,12432.66,51074.27,67784.05,18840.65,16835.07,58885.89,64726.23,11311.42,15647.74,44917.28,59988.32,437593.08,8285.96,8918.83,39832.58,99215.25,14346.55,9396.97,47977.38,88020.15,13835.17,9450.78,43346.02,54832.61,437458.25
